# Words 201-400

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
|---|---------|-----|-------------------|----------|------------------------|------------|---------------------------|-----------------|-----------------|
| 201 | agitation | ການກະຕຸ້ນ | kan ka tun | 動揺 | dōyō | sự khuấy động | sự khuấy động | a state of anxiety or nervous excitement | 煽动，焦虑 |
| 202 | ago | ຜ່ານມາ | phan ma | 前に | mae ni | trước đây | trước đây | before the present, earlier | 以前，...之前 |
| 203 | agony | ຄວາມເຈັບປວດ | khwam chep puad | 苦悶 | kumon | nỗi đau | nỗi đau | extreme physical or mental suffering | 极度痛苦，苦恼 |
| 204 | agree | ຕົກລົງ | tok long | 同意する | dōi suru | đồng ý | đồng ý | to have the same opinion about something, consent | 同意，赞成 |
| 205 | agreement | ການຕົກລົງ | kan tok long | 合意 | gōi | thỏa thuận | thỏa thuận | a negotiated and typically legally binding arrangement between parties | 协议，同意 |
| 206 | agreeable | ພໍໃຈ | pho chai | 快い | kokoroyoi | dễ chịu | dễ chịu | pleasant, enjoyable, or acceptable | 令人愉快的，同意的 |
| 207 | agriculture | ການກະເສດ | kan ka set | 農業 | nōgyō | nông nghiệp | nông nghiệp | the science or practice of farming | 农业 |
| 208 | agricultural | ທາງກະເສດ | thang ka set | 農業の | nōgyō no | nông nghiệp | nông nghiệp | relating to agriculture | 农业的 |
| 209 | ahead | ຂ້າງໜ້າ | khang na | 前方に | zenpō ni | phía trước | phía trước | further forward in space or time, in advance | 在前面，提前 |
| 210 | aid | ຊ່ວຍເຫຼືອ | suay heu | 援助 | enjo | viện trợ | viện trợ | help, assistance, or support | 帮助，援助 |
| 211 | aide | ຜູ້ຊ່ວຍ | phu suay | 補佐官 | hosakan | trợ lý | trợ lý | an assistant to an important person | 助手，副官 |
| 212 | aids | ເອດ | et | エイズ | eizu | AIDS | AIDS | Acquired Immune Deficiency Syndrome, a disease | 艾滋病 |
| 213 | ail | ເຈັບ | chep | 苦しめる | kurushimeru | đau | đau | to trouble or afflict someone | 使痛苦，困扰 |
| 214 | ailment | ພະຍາດ | pha nyat | 病気 | byōki | bệnh | bệnh | an illness, typically a minor one | 疾病，小病 |
| 215 | aim | ເປົ້າໝາຍ | pao mai | 目標 | mokuhyō | mục tiêu | mục tiêu | a purpose or intention, a desired outcome | 目标，瞄准 |
| 216 | air | ອາກາດ | a kat | 空気 | kūki | không khí | không khí | the invisible gaseous substance surrounding the earth | 空气，大气 |
| 217 | airborne | ທາງອາກາດ | thang a kat | 空中の | kūchū no | trên không | trên không | transported by air, flying or capable of flying | 空中的，空运的 |
| 218 | air-conditioning | ເຄື່ອງປັບອາກາດ | kheuang pap a kat | エアコン | eakon | điều hòa | điều hòa | a system for controlling the temperature and humidity of air in a building | 空调，空气调节 |
| 219 | air-conditioner | ເຄື່ອງປັບອາກາດ | kheuang pap a kat | エアコン | eakon | máy điều hòa | máy điều hòa | a machine that cools and dehumidifies the air in a building | 空调机 |
| 220 | aircraft | ເຮືອບິນ | heua bin | 航空機 | kōkūki | máy bay | máy bay | a machine that can fly, such as an airplane or helicopter | 飞机，航空器 |
| 221 | airline | ສາຍການບິນ | sai kan bin | 航空会社 | kōkū gaisha | hãng hàng không | hãng hàng không | a company that provides regular flights for passengers and freight | 航空公司 |
| 222 | airplane | ເຮືອບິນ | heua bin | 飛行機 | hikōki | máy bay | máy bay | a powered flying vehicle with fixed wings and a weight greater than that of the air it displaces | 飞机 |
| 223 | aeroplane | ເຮືອບິນ | heua bin | 飛行機 | hikōki | máy bay | máy bay | a powered flying vehicle with fixed wings | 飞机（英式拼写） |
| 224 | airport | ສະໜາມບິນ | sa nam bin | 空港 | kūkō | sân bay | sân bay | a complex of runways and buildings for the takeoff, landing, and maintenance of civil aircraft | 机场 |
| 225 | aisle | ທາງ | thang | 通路 | tsūro | lối đi | lối đi | a passage between rows of seats in a building such as a church or theater | 过道，通道 |
| 226 | akin | ຄ້າຍຄື | khai khu | 類似した | ruiji shita | tương tự | tương tự | of similar character, related | 类似的，相似的 |
| 227 | alarm | ສຽງເຕືອນ | siang teuan | 警報 | keihō | báo động | báo động | an anxious awareness of danger | 警报，惊恐 |
| 228 | album | ອັລບັມ | al bam | アルバム | arubamu | album | album | a collection of recordings issued as a single item | 专辑，相册 |
| 229 | alcohol | ເຫຼົ້າ | lao | アルコール | arukōru | rượu | rượu | a colorless volatile flammable liquid that is the intoxicating constituent of wine, beer, spirits | 酒精，酒 |
| 230 | alcoholic | ຜູ້ຕິດເຫຼົ້າ | phu tit lao | アルコール依存症の | arukōru izonshō no | người nghiện rượu | người nghiện rượu | containing or relating to alcohol, a person suffering from alcoholism | 含酒精的，酗酒者 |
| 231 | ale | ເບຍ | bia | エール | ēru | bia ale | bia ale | a type of beer with a bitter flavor and higher alcoholic content | 麦芽酒，淡色啤酒 |
| 232 | alert | ຕື່ນຕົວ | tun tua | 警戒 | keikai | cảnh giác | cảnh giác | quick to notice any unusual and potentially dangerous or difficult circumstances | 警觉的，警报 |
| 233 | algebra | ພຶດຊະຄະນິດ | phut sa kha nit | 代数 | daisū | đại số | đại số | the part of mathematics in which letters and other general symbols are used to represent numbers | 代数 |
| 234 | alien | ຄົນຕ່າງດາວ | khon tang dao | 異星人 | iseijin | người ngoài hành tinh | người ngoài hành tinh | belonging to a foreign country or nation, a being from another world | 外国的，外星人 |
| 235 | alienate | ເຮັດໃຫ້ແຍກ | het hai nyek | 疎遠にする | soen ni suru | xa lánh | xa lánh | to cause someone to feel isolated or estranged | 使疏远，离间 |
| 236 | alienation | ການແຍກ | kan nyek | 疎外 | sogai | sự xa lánh | sự xa lánh | the state or experience of being isolated from a group or an activity | 疏远，异化 |
| 237 | align | ຈັດຕັ້ງ | chat tang | 整列する | seiretsu suru | sắp xếp | sắp xếp | to place or arrange things in a straight line | 对齐，排列 |
| 238 | alignment | ການຈັດຕັ້ງ | kan chat tang | 整列 | seiretsu | sự sắp xếp | sự sắp xếp | arrangement in a straight line or in correct relative positions | 对齐，排列 |
| 239 | alike | ຄ້າຍຄືກັນ | khai khu kan | 同様に | dōyō ni | giống nhau | giống nhau | in the same or a similar way | 相似的，同样地 |
| 240 | alive | ມີຊີວິດ | mi si vit | 生きている | ikiteiru | sống | sống | living, not dead | 活着的，有活力的 |
| 241 | all | ທັງໝົດ | thang mot | すべて | subete | tất cả | tất cả | the whole quantity or extent of, every one of | 所有的，全部 |
| 242 | allege | ກ່າວຫາ | kao ha | 主張する | shuchō suru | cáo buộc | cáo buộc | to claim or assert that someone has done something illegal or wrong | 声称，指控 |
| 243 | allegation | ການກ່າວຫາ | kan kao ha | 主張 | shuchō | lời cáo buộc | lời cáo buộc | a claim or assertion that someone has done something illegal or wrong | 指控，断言 |
| 244 | alleged | ຖືກກ່າວຫາ | thuok kao ha | 主張された | shuchō sareta | bị cáo buộc | bị cáo buộc | said, without proof, to have taken place or to have a specified illegal or undesirable quality | 被指控的，声称的 |
| 245 | allegedly | ຖືກກ່າວຫາ | thuok kao ha | 主張によると | shuchō ni yoru to | được cho là | được cho là | used to convey that something is claimed to be the case or have taken place | 据称，据说 |
| 246 | allergic | ແພ້ | phae | アレルギーの | arerugī no | dị ứng | dị ứng | caused by or relating to an allergy | 过敏的 |
| 247 | allergy | ພະຍາດແພ້ | pha nyat phae | アレルギー | arerugī | dị ứng | dị ứng | a damaging immune response by the body to a substance | 过敏，过敏症 |
| 248 | alleviate | ບັນເທົາ | ban thao | 緩和する | kanwa suru | giảm bớt | giảm bớt | to make suffering, deficiency, or a problem less severe | 减轻，缓解 |
| 249 | alleviation | ການບັນເທົາ | kan ban thao | 緩和 | kanwa | sự giảm bớt | sự giảm bớt | the action or process of making suffering less severe | 减轻，缓解 |
| 250 | alley | ທາງແຄບ | thang khaep | 路地 | roji | ngõ hẻm | ngõ hẻm | a narrow passageway between or behind buildings | 小巷，胡同 |
| 251 | allocate | ຈັດສັນ | chat san | 割り当てる | wariateru | phân bổ | phân bổ | to distribute resources or duties for a particular purpose | 分配，分派 |
| 252 | allocation | ການຈັດສັນ | kan chat san | 割り当て | wariate | sự phân bổ | sự phân bổ | the action or process of allocating or distributing something | 分配，分派 |
| 253 | allot | ຈັດສັນ | chat san | 割り当てる | wariateru | phân bổ | phân bổ | to give or apportion something to someone as a share or task | 分配，分派 |
| 254 | allotment | ການຈັດສັນ | kan chat san | 割り当て | wariate | sự phân bổ | sự phân bổ | the action of allotting something, a portion of something allocated to a particular person | 分配，份额 |
| 255 | allow | ອະນຸຍາດ | a nu nyat | 許可する | kyoka suru | cho phép | cho phép | to give permission for someone to do something | 允许，准许 |
| 256 | allowance | ເງິນໃຫ້ | ngoen hai | 手当て | teate | tiền trợ cấp | tiền trợ cấp | an amount of money paid regularly to a person | 津贴，零用钱 |
| 257 | alloy | ໂລຫະປະສົມ | lo ha pa som | 合金 | gōkin | hợp kim | hợp kim | a metal made by combining two or more metallic elements | 合金 |
| 258 | allude | ອ້າງອີງ | ang ing | 言及する | genkyū suru | ám chỉ | ám chỉ | to suggest or call attention to indirectly, hint at | 暗示，提及 |
| 259 | allusion | ການອ້າງອີງ | kan ang ing | 言及 | genkyū | sự ám chỉ | sự ám chỉ | an expression designed to call something to mind without mentioning it explicitly | 暗示，典故 |
| 260 | allure | ດຶງດູດ | dung dut | 魅力 | miryoku | sức quyến rũ | sức quyến rũ | the quality of being powerfully and mysteriously attractive or fascinating | 诱惑，魅力 |
| 261 | allurement | ການດຶງດູດ | kan dung dut | 誘惑 | yūwaku | sự quyến rũ | sự quyến rũ | the quality of being attractive or fascinating | 诱惑，魅力 |
| 262 | ally | ພັນທະມິດ | phan tha mit | 同盟国 | dōmeikoku | đồng minh | đồng minh | a state formally cooperating with another for a military or other purpose | 同盟，盟友 |
| 263 | alliance | ພັນທະມິດ | phan tha mit | 同盟 | dōmei | liên minh | liên minh | a union or association formed for mutual benefit | 联盟，同盟 |
| 264 | almighty | ທຸກຢ່າງ | thuk yang | 全能の | zen'nō no | toàn năng | toàn năng | having complete power, omnipotent | 全能的，万能的 |
| 265 | almost | ເກືອບ | keuab | ほとんど | hotondo | gần như | gần như | very nearly, not quite | 几乎，差不多 |
| 266 | aloft | ສູງ | sung | 上空に | jōkū ni | trên cao | trên cao | up in or into the air, overhead | 在高处，在空中 |
| 267 | alone | ຄົນດຽວ | khon diao | 一人で | hitori de | một mình | một mình | having no one else present, on one's own | 独自的，单独的 |
| 268 | along | ຕາມ | tam | 沿って | sotte | dọc theo | dọc theo | moving in a constant direction on a more or less horizontal path | 沿着，顺着 |
